127.0.0.1 - - [11/Jan/2024:09:38:22 +0900] "GET / HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [11/Jan/2024:09:38:22 +0900] "GET /MustHaveJSP/06Session/LoginForm.jsp HTTP/1.1" 200 4383
0:0:0:0:0:0:0:1 - - [11/Jan/2024:09:39:49 +0900] "GET /MustHaveJSP/06Session/LoginForm.jsp HTTP/1.1" 200 5989
0:0:0:0:0:0:0:1 - - [11/Jan/2024:09:39:49 +0900] "GET /MustHaveJSP/06Session/images/login_logo.gif HTTP/1.1" 404 863
0:0:0:0:0:0:0:1 - - [11/Jan/2024:09:39:49 +0900] "GET /MustHaveJSP/06Session/images/login_bt.gif HTTP/1.1" 404 861
0:0:0:0:0:0:0:1 - - [11/Jan/2024:09:39:49 +0900] "GET /MustHaveJSP/06Session/images/login_member.gif HTTP/1.1" 404 865
0:0:0:0:0:0:0:1 - - [11/Jan/2024:09:39:49 +0900] "GET /MustHaveJSP/06Session/images/login_idpw.gif HTTP/1.1" 404 863
0:0:0:0:0:0:0:1 - - [11/Jan/2024:09:44:42 +0900] "GET /MustHaveJSP/06Session/LoginForm.jsp HTTP/1.1" 200 5345
0:0:0:0:0:0:0:1 - - [11/Jan/2024:09:46:35 +0900] "GET /MustHaveJSP/06Session/LoginForm.jsp HTTP/1.1" 200 4054
0:0:0:0:0:0:0:1 - - [11/Jan/2024:09:48:22 +0900] "GET /MustHaveJSP/06Session/LoginForm.jsp HTTP/1.1" 200 5503
0:0:0:0:0:0:0:1 - - [11/Jan/2024:09:51:48 +0900] "GET /MustHaveJSP/06Session/LoginForm.jsp HTTP/1.1" 200 5801
0:0:0:0:0:0:0:1 - - [11/Jan/2024:10:03:21 +0900] "GET /MustHaveJSP/06Session/LoginForm.jsp HTTP/1.1" 200 5861
0:0:0:0:0:0:0:1 - - [11/Jan/2024:10:14:23 +0900] "GET /MustHaveJSP/06Session/LoginForm.jsp HTTP/1.1" 200 5912
0:0:0:0:0:0:0:1 - - [11/Jan/2024:10:14:52 +0900] "GET /MustHaveJSP/06Session/LoginForm.jsp HTTP/1.1" 200 5914
0:0:0:0:0:0:0:1 - - [11/Jan/2024:10:16:28 +0900] "GET /MustHaveJSP/06Session/LoginForm.jsp HTTP/1.1" 200 5915
0:0:0:0:0:0:0:1 - - [11/Jan/2024:10:17:06 +0900] "GET /MustHaveJSP/06Session/LoginForm.jsp HTTP/1.1" 200 5895
